acc.date,aircraft_type,operator,fatalities,damage
2022-01-03,British Aerospace 4121 Jetstream 41,SA Airlink,0,sub
2022-01-04,British Aerospace 3101 Jetstream 31,LANHSA - Línea Aérea Nacional de Honduras S.A,0,sub
2022-01-05,Boeing 737-4H6,Caspian Airlines,0,sub
2022-01-08,Tupolev Tu-204-100C,"Cainiao, opb Aviastar-TU",0,w/o
2022-01-12,Beechcraft 200 Super King Air,private,0,w/o
2022-01-16,Airbus A320-214 (WL),Star Flyer,0,non
2022-01-19,Cessna 208B Grand Caravan EX,Mahan Air,0,sub
2022-01-22,Airbus A320-232,JetBlue Airways,0,sub
2022-01-27,Bombardier CL-600-2B16 Challenger 604,Volare Aviation,0,sub
2022-01-31,Bombardier CL-600-2B16 Challenger 604,Lima Delta Co Trustee,0,sub
2022-01-31,Beechcraft B300 King Air 350,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,sub
2022-02-02,Hawker 1000,Skyview LLC,0,sub
2022-02-05,Cessna 208B Grand Caravan,Care Aviation,0,sub
2022-02-07,Embraer ERJ-190-100LR,Finnair,0,sub
2022-02-08,Antonov An-26,South Sudanese Air Force,0,sub
2022-02-11,Cessna 501 Citation I/SP,Aviajet SA,0,sub
2022-02-11,Antonov An-2R,Kamchatsky Krechet,2,w/o
2022-02-14,Let L-410UVP-E3,Doren Air Congo,0,w/o
2022-02-15,ATR 42-500,Japan Air Commuter,0,non
2022-02-15,Britten-Norman BN-2A-9 Islander,Air Flamenco,0,sub
2022-02-16,Swearingen SA226-AT Merlin IV,Colcharter,0,sub
2022-02-18,Embraer EMB-500 Phenom 100E,Eclipse Transport LLC,0,sub
2022-02-21,de Havilland Canada DHC-3T Texas Turbine Otter,Bald Mountain Air Services,0,sub
2022-02-21,Raytheon Hawker 800XP,Roper Aviation LLC,0,sub
2022-02-23,Cessna 208B Grand Caravan,Air Serv Limited,0,sub
2022-02-23,Antonov An-2,Taraz Zhana Alem,0,w/o
2022-02-24,Antonov An-22A,Antonov Airlines,0,sub
2022-02-24,Antonov An-26-100,Antonov Airlines,0,w/o
2022-02-24,Antonov An-74T,Antonov Airlines,0,w/o
2022-02-24,Cessna 208B Supervan 900,GoJump Oceanside,0,sub
2022-02-24,Antonov An-26,Russian Air Force,0,w/o
2022-02-24,Antonov An-26,Ukraine Air Force,5,w/o
2022-02-26,Cessna 208B Grand Caravan,AB Aviation,14,w/o
2022-02-27,Antonov An-124-100,Antonov Airlines,0,sub
2022-02-27,Antonov An-225,Antonov Airlines,0,w/o
2022-02-28,Cessna 208B Grand Caravan,Revolution Flight,0,sub
2022-02-28,Embraer ERJ 170-200 LR (ERJ-175LR),"American Eagle, opb Republic Airlines",0,min
2022-02-28,Cessna 208B Grand Caravan EX,Spirit Avia Sentosa,0,sub
2022-03-01,Shaanxi Y-8Q,China Naval Air Force - Unit 92967,11,w/o
2022-03-02,Embraer EMB-500 Phenom 100,Flyzar,0,sub
2022-03-03,Boeing 737-8AS (WL),Ryanair,0,non
2022-03-05,Dornier 228-101,Indian Coast Guard,0,sub
2022-03-06,Beechcraft 200 Super King Air,HLAF AETA LLC,0,sub
2022-03-07,Cessna 525B CitationJet CJ3,Ozark Air Services,0,sub
2022-03-08,Cessna 208 Caravan I,Bamaji Air,0,w/o
2022-03-09,Honda HA-420 HondaJet,Jet It LLC,0,sub
2022-03-12,Beechcraft 1900D,Bocas Air,0,sub
2022-03-17,Cessna 208B Super Cargomaster,Martinaire,0,min
2022-03-17,Cessna 208B Super Cargomaster,Martinaire,0,sub
2022-03-21,Boeing 737-89P (WL),China Eastern Airlines,132,w/o
2022-03-26,Boeing 767-346ER,Japan Airlines (JAL),0,non
2022-03-30,Cessna 208 Caravan I,"Skydive Costa d'Argento, lsf Gladwings",1,w/o
2022-04-01,Embraer EMB-110P2 Bandeirante,TAG Airlines,0,sub
2022-04-02,Learjet 75,Georgia Crown Distributing Co.,0,sub
2022-04-07,Boeing 757-27A (PCF),DHL Aero Expreso,0,w/o
2022-04-08,Aero Modifications AMI DC-3-65TP,ALIANSA Colombia,0,sub
2022-04-11,Beechcraft A100 King Air,Thunder Airlines,0,sub
2022-04-13,Gulfstream American G-1159 Gulfstream II B,private,0,w/o
2022-04-13,Basler BT-67 Turbo 67,Servicio Aéreo de Policia,0,sub
2022-04-13,Cessna 208B Grand Caravan,Gem Air,1,w/o
2022-04-14,Fairchild SA227-DC Metro 23,Denver Air Connection,0,sub
2022-04-17,Embraer EMB-505 Phenom 300,VOAR Cooperativa,0,sub
2022-04-17,Cessna 525B CitationJet CJ3,GP Aviation LLC,0,sub
2022-04-22,Antonov An-26B-100,Constanta Airlines,1,w/o
2022-04-26,Boeing 737-8AS (WL),Ryanair,0,non
2022-04-30,Beechcraft 99A Airliner,Freight Runners Express,0,sub
2022-04-30,Cessna 208B Grand Caravan,Centre Ecole de Parachutisme Sportif de l'Ariège,0,sub
2022-05-01,Boeing 737-8AS (WL),SpiceJet,0,unk
2022-05-03,Shorts 360-300,Air Cargo Carriers,0,sub
2022-05-06,Beechcraft 200 Super King Air,Sociedad De Transporte Aéreo Movi Air SPA,0,sub
2022-05-06,Boeing 737-82R (WL),Blue Air,0,sub
